trip_id,personal_mae,personal_rmse,personal_mbe,personal_stddev,personal_count,global_mae,global_rmse,global_mbe,global_stddev,global_count,segment_count,avg_gt_soc_delta,mae_improvement
3f59ab79-cd64-54ff-8029-d5e0b612fd9b,0.5358,0.6948,-0.077,0.7382,8.0,0.8484,1.1305,-0.8057,0.8477,8.0,8.0,1.3875,0.3127
3f96a9f4-4f35-5e2a-bb86-6a9e8656fb65,3.7828,4.7405,-0.5533,5.4364,4.0,2.3809,3.2276,0.2197,3.7183,4.0,4.0,3.45,-1.4019
401ec699-5a6c-5600-a38f-e6f6d6a99c06,0.2571,0.2685,0.0463,0.2897,6.0,0.5499,0.6049,-0.5499,0.2762,6.0,6.0,1.2167,0.2928
40212d7a-c6d3-573b-a22a-b814b4b23173,1.2001,1.316,-0.034,1.519,4.0,0.9626,1.1483,0.5058,1.1904,4.0,4.0,4.375,-0.2376
40349114-6245-56a3-8e5f-7459cc0ca138,0.378,0.5234,-0.0454,0.583,5.0,0.3157,0.4853,-0.1614,0.5118,5.0,5.0,0.7,-0.0623
40ee8ade-6e0d-533f-9a21-54efd81b8cfe,0.3252,0.3516,0.0638,0.3866,5.0,0.4307,0.6129,0.4307,0.4875,5.0,5.0,2.26,0.1055
40fef14e-63f7-528a-b9aa-3aac71a000b6,1.4839,1.651,-0.0634,1.8446,5.0,1.3126,1.4697,-0.2018,1.6276,5.0,5.0,3.06,-0.1713
414ef34b-632a-5b53-bfc6-21384ebc74f2,0.9132,1.1248,-0.2042,1.166,10.0,1.2384,1.4506,0.0682,1.5274,10.0,10.0,1.8,0.3252
4197acd8-7b3d-53ba-9a26-64d49e7cff6e,0.6156,0.7114,0.1514,0.8027,4.0,0.6509,0.8152,-0.6509,0.5668,4.0,4.0,2.85,0.0353
42da2e2b-bc84-5cc0-92b2-f5e5cfc07b1c,0.9132,1.2908,-0.11,1.438,5.0,1.0845,1.2853,-0.7921,1.1318,5.0,5.0,5.32,0.1712
437d2e64-7677-5ad3-b212-eaa2070f73e2,1.064,1.2512,0.0062,1.3515,7.0,1.0184,1.2854,0.6931,1.1693,7.0,7.0,8.6,-0.0457
45518ac2-e050-5d3e-8db2-c75bcb871001,0.7216,0.7785,-0.0212,0.8986,4.0,0.8575,1.0819,-0.8575,0.7619,4.0,4.0,2.35,0.1359
460fcc70-33bc-5948-8c7e-9a9944443c75,1.3989,1.7354,0.0873,2.0014,4.0,1.6643,1.7607,-1.2174,1.4688,4.0,4.0,4.25,0.2654
46905e26-57e8-53a3-84ec-763c8f89fe10,1.3526,1.6475,0.1219,1.8971,4.0,1.0421,1.3629,0.191,1.5582,4.0,4.0,4.275,-0.3105
476810d5-aa17-5f55-8708-0f08e516636b,0.7466,0.8693,0.0823,0.9992,4.0,0.4291,0.6332,-0.1528,0.7095,4.0,4.0,2.0,-0.3175
4892790f-6e22-54ba-97d1-04f126eca99a,0.622,0.6583,0.141,0.7425,4.0,1.1157,1.2772,1.1157,0.7178,4.0,4.0,3.75,0.4937
4963e7ee-8ecf-5bb2-9b04-91e60a87d526,0.9053,1.0536,-0.0834,1.1505,6.0,0.7264,0.8948,0.3092,0.9198,6.0,6.0,4.0167,-0.1789
49e3fc0f-8eea-51a0-acd5-91af8c915e26,0.9459,1.0544,-0.0585,1.2157,4.0,0.6097,0.8001,0.3406,0.836,4.0,4.0,3.525,-0.3362
4bf64834-b206-5166-b461-9033d017a1a3,0.5902,0.9611,0.0905,1.0086,10.0,0.629,0.8893,-0.2777,0.8906,10.0,10.0,4.1,0.0387
4bf9f828-fb95-58ea-b3a8-76d492ef27d7,0.5481,0.6769,0.0306,0.7407,6.0,0.3918,0.5331,0.1022,0.5732,6.0,6.0,2.4,-0.1564
4d02ce2e-7fbb-5005-9f2f-d3cb655c0209,1.2733,1.5126,-0.0651,1.745,4.0,1.4823,1.6326,-0.9465,1.536,4.0,4.0,1.65,0.209
4db92ded-debf-58f4-857f-f9cb0b70b6c4,0.2602,0.3567,0.0107,0.3905,6.0,0.2979,0.3248,0.153,0.3139,6.0,6.0,3.2833,0.0377
4e1de3a0-8809-5a20-8c60-9471022ba527,0.3555,0.3725,0.0325,0.4285,4.0,0.2659,0.2924,-0.0794,0.3249,4.0,4.0,0.85,-0.0896
4f981258-9d7d-5414-b529-3c15beeb50c9,2.2925,2.8732,0.1177,3.3149,4.0,1.6885,2.1987,0.1999,2.5283,4.0,4.0,4.675,-0.6039
4fae269c-f0d8-5a8b-8fa9-e5f35466e873,2.2194,2.5407,-0.1578,2.8351,5.0,1.6083,1.8912,-0.0083,2.1144,5.0,5.0,5.06,-0.611
